"","Degree","Betweenness","Eigenvecto","Constraint"
"j6jp1dz",2,1140,0.0801114120007727,0.5
"j98vs4x",1,0,0.0796005691891161,1
"j9pa4t9",1,0,0.0796005691891161,1
"ja0zhet",2,571,0.0801081545325581,0.5
"ja6vany",1,0,0.0796005691891161,1
"jgevbzn",1,0,0.0796005691891162,1
"jhhrwf0",1,0,0.0796005691891162,1
"ji8xlak",1,0,0.0796005691891161,1
"j3eomoy",7,14992,0.00744574851884685,0.142857142857143
"j3e3yc7",4,6197,0.00729957341856678,0.25
"j3etvxb",4,3407,0.00729956947149757,0.25
"j3fg4v6",2,2272,0.00720617325110683,0.5
"j3g9em0",2,571,0.00720558155467336,0.5
"j3kp3lb",1,0,0.00715992518411448,1
"ja0z6lh",1,0,0.00715992518411448,1
"jgew36v",2,571,0.00720558155467336,0.5
"j3f0nlc",2,2272,0.00720587645048063,0.5
"j3fn94w",2,1140,0.00720587455796398,0.5
"j3emy7k",2,571,0.00720558155467336,0.5
"j3gqvu2",2,1140,0.00720587455796397,0.5
"j3h3odx",2,2272,0.00720587645048063,0.5
"j3ls3kt",2,1140,0.00720587455796397,0.5
"j3sm0vc",2,571,0.00720558155467336,0.5
"j3ur9cr",1,0,0.00715992518411448,1
"j41ktx6",2,571,0.00720558155467337,0.5
"j7j13vh",2,4512,0.00720587645055858,0.5
"j3ck27w",10,12297,0.00812135001915954,0.1
"j3btb7w",4,7876,0.00780588118786474,0.25
"j3c99ue",1,0,0.00765590582171027,1
"j3cdmf9",2,1140,0.00770503818967673,0.5
"j3clktx",2,2272,0.00770535757382007,0.5
"j3ckj26",4,2277,0.00780457641478708,0.25
"j3bvuhq",1,0,0.00765590582171027,1
"j3cef97",5,10076,0.00785798624328203,0.2
"j3c2509",4,4525,0.00780490411789082,0.25
"j3bq3vd",1,0,0.00765590582171027,1
"j3cl6vk",1,0,0.00765590582171027,1
"j3by1ma",5,4535,0.00785596966906365,0.2
"j3cm4aw",1,0,0.00765590582171027,1
"j3ddzjg",2,1707,0.00770535553705097,0.5
"j3cea2t",1,0,0.00765590582171027,1
"j3bx7hy",2,1707,0.00770504020038693,0.5
"j3bpzs9",2,571,0.00770472488953174,0.5
"j3mgn6b",1,0,0.00765590582171027,1
"j3dye1a",1,0,0.00765590582171027,1
"j3ekn4y",1,0,0.00765590582171027,1
"j3eo53p",1,0,0.00765590582171027,1
"j3eveqc",1,0,0.00765590582171027,1
"j3fckdt",1,0,0.00765590582171027,1
"j3kwtr9",1,0,0.00765590582171026,1
"j3ra0gd",1,0,0.00765590582171027,1
"j6q1qra",1,0,0.00765590582171027,1
"j9p7z4a",1,0,0.00765590582171027,1
"j3csbbo",4,1710,0.00654328929254182,0.25
"j3cfhpr",3,5629,0.00650210930570211,0.333333333333333
"j3iqhfh",3,1141,0.00645902868873972,0.333333333333333
"j3c97k1",4,10570,0.00667317626489866,0.25
"j3cv3yh",3,5081,0.00663061656122648,0.333333333333333
"j3ctwqy",2,571,0.00658696450443718,0.5
"j3d34cm",1,0,0.00654522784654343,1
"j3fzv6r",1,0,0.00654522784654344,1
"j3hgpa9",1,0,0.0063766546974813,1
"j3c93gk",4,3407,0.00654356223846934,0.25
"j3npyil",1,0,0.0064183807343675,1
"j3bzclr",3,6181,0.00650102767257382,0.333333333333333
"j3esfun",1,0,0.00641810950612807,1
"j3f3t2x",2,4512,0.00641810946165015,0.5
"j3c21bw",4,3971,0.00654410139233747,0.25
"j3c38yu",2,571,0.00645957464939735,0.5
"j3dfx1k",1,0,0.00641757737237933,1
"j3ebrfp",1,0,0.00641757737237933,1
"j3db7ma",1,0,0.0063766546974813,1
"j3byg3v",2,1140,0.00645929472768344,0.5
"j3c1joi",2,1140,0.00645929472768344,0.5
"j3g0qbo",1,0,0.0063766546974813,1
"j3derun",3,1709,0.00650075117718959,0.333333333333333
"j3dbg86",1,0,0.00641810774301248,1
"j3km89e",2,1140,0.0064178400075595,0.5
"j3bnefs",1,0,0.0063766546974813,1
"j3ggejg",1,0,0.00641757737237933,1
"j3jneef",1,0,0.00641757737237933,1
"j3kwuh8",1,0,0.0063766546974813,1
"jff8oc0",1,0,0.0063766546974813,1
"j3c7f3i",3,2275,0.00650129367777854,0.333333333333333
"j3c19oc",3,3404,0.00650182928139513,0.333333333333333
"j3cm7i7",2,1140,0.0064595625070393,0.5
"j3cp5yq",3,1709,0.00650101894572831,0.333333333333333
"j3cgqpv",3,1141,0.00650048341975114,0.333333333333333
"j3c8iav",1,0,0.00641810603561576,1
"j3g1e3n",2,1140,0.0064178400075595,0.5
"j3dth93",1,0,0.0063766546974813,1
"j3g0l7e",2,1140,0.0064178400075595,0.5
"j3j5rfy",2,571,0.00641757737237932,0.5
"j3g2a75",1,0,0.0063766546974813,1
"j3c1ran",1,0,0.00641757737237933,1
"j3csmyd",1,0,0.00641757737237933,1
"j3ckgsh",1,0,0.00641784170392812,1
"j3cvjtc",2,1707,0.00645903038517777,0.5
"j3crnju",1,0,0.00641757737237933,1
"j6q7y1i",1,0,0.00641757737237933,1
"j3ca47t",1,0,0.00645902868873973,1
"j3cvexp",1,0,0.00645902868873974,1
"j3defs0",1,0,0.00645902868873974,1
"j3c9vl3",2,571,0.00641757737237932,0.5
"j3dvbl1",1,0,0.0064595659331445,1
"j3dh6w5",1,0,0.0064595659331445,1
"j3g1aq2",3,1709,0.00654274320803361,0.333333333333333
"j3ceqbi",2,571,0.00654274493763137,0.5
"j3cumph",1,0,0.006501288465995,1
"j3dtsrg",1,0,0.006501288465995,1
"j3exkov",1,0,0.00650128846599501,1
"j3dtkzm",2,2272,0.00641784170392811,0.5
"j3c3xmf",4,2842,0.00650156145727547,0.25
"j7qjx1g",2,1140,0.0064178400075595,0.5
"j3dq9k3",2,571,0.00641757737237933,0.5
"j3c2nhh",1,0,0.0063766546974813,1
"j3dfg0r",2,1140,0.0064178400075595,0.5
"jaapb3b",2,571,0.00641757737237933,0.5
"j3cj48f",1,0,0.0063766546974813,1
"j3bwn3o",1,0,0.0063766546974813,1
"j3bq90r",1,0,0.00645902868873974,1
"j3bnz5t",1,0,0.00645902868873974,1
"j3bofd2",1,0,0.00645902868873974,1
"j3d34c8",2,571,0.00641757737237932,0.5
"j3g1893",1,0,0.0063766546974813,1
"j3jwprj",1,0,0.0063766546974813,1
"jhhrzwg",2,571,0.00641757737237933,0.5
"ja50070",1,0,0.0063766546974813,1
"j3evcgn",4,3969,0.000604245486655337,0.25
"j3i2bor",5,3970,0.000608123439577478,0.2
"j3fqr8m",2,2835,0.000596489741590631,0.5
"j3i3eiu",2,1140,0.000596489427247475,0.5
"j3ozorc",1,0,0.000592685820139227,1
"ja551hl",1,0,0.000592685820139227,1
"j3eydvc",3,3961,0.000588556705512811,0.333333333333333
"j3i20ul",2,571,0.000584755355436293,0.5
"jgewx6r",1,0,0.000581050198955655,1
"j3faryt",3,1141,0.000588507749952091,0.333333333333333
"j3i3olp",2,571,0.000584755039243861,0.5
"jgexg0e",1,0,0.000581049884766699,1
"j3g37b8",3,1709,0.000581001712217416,0.333333333333333
"j3i8cdd",1,0,0.000573568393090592,1
"jgew5fo",1,0,0.000573568393090593,1
"j3f5dnr",2,1707,0.000577273087796513,0.5
"j47wpr1",2,571,0.000577249312631597,0.5
"j3er1pu",1,0,0.000573568393090592,1
"j3gw4m9",2,571,0.000577249312631597,0.5
"j3ha0mf",2,1707,0.000577273087796513,0.5
"j3lvssd",2,571,0.000577249312631596,0.5
"j92cgu2",1,0,0.000573568393090592,1
"j92czmu",1,0,0.000573568393090592,1
"j92dxs4",2,3955,0.000577273088775821,0.5
"j3ckhi2",2,571,0.000650586362347817,0.5
"j3d10ew",3,3401,0.000654843159448343,0.333333333333333
"j3hfp6z",3,2275,0.000654788518326721,0.333333333333333
"j83ieqs",1,0,0.000646464084109137,1
